SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1762.50,1805.00,1684.00,1707.70,1690.00,1760.50,2048,11165,19657828.00,,INE117A01022,20-Aug-21,,
500003,AEGIS LOGIS ,A ,Q,271.00,276.45,267.30,272.90,276.00,272.45,1204,28682,7791916.00,,INE208C01025,20-Aug-21,,
500008,AMAR RAJA BA,A ,Q,709.00,709.25,695.40,697.30,697.30,711.40,2771,125978,88796035.00,,INE885A01032,20-Aug-21,,
500009,A.SARABHAI  ,X ,Q,29.70,31.80,28.90,29.85,29.85,30.30,1085,204796,6213104.00,,INE432A01017,20-Aug-21,,
500010,HDFC        ,A ,Q,2707.00,2738.70,2698.70,2722.60,2722.60,2711.00,5769,60656,165053865.00,,INE001A01036,20-Aug-21,,
500012,ANDHRA PETRO,XT,Q,150.00,154.00,149.85,149.85,149.85,157.70,1102,121279,18175729.00,,INE714B01016,20-Aug-21,,
500013,ANSAL INFRAS,B ,Q,9.74,10.51,9.74,10.32,10.32,9.89,164,51813,523520.00,,INE436A01026,20-Aug-21,,
500014,UTIQUE      ,X ,Q,2.80,3.25,2.80,2.93,3.00,3.08,98,14557,43216.00,,INE096A01010,20-Aug-21,,
500016,ARUNAHTEL   ,XT,Q,11.40,12.50,11.40,12.50,12.50,11.95,45,4597,54221.00,,INE957C01019,20-Aug-21,,
500020,BOM DYEING  ,A ,Q,88.00,91.25,87.00,88.55,88.55,89.45,3207,501218,44652573.00,,INE032A01023,20-Aug-21,,
500023,ASIANHOTNR  ,B ,Q,78.10,78.15,73.45,74.20,74.15,78.70,96,2540,192238.00,,INE363A01022,20-Aug-21,,
500027,ATUL LTD.   ,A ,Q,9300.00,9300.00,9094.00,9141.05,9145.00,9315.20,418,799,7298910.00,,INE100A01010,20-Aug-21,,
500028,ATV PROJECTS,XT,Q,9.90,10.30,9.35,9.63,9.80,9.84,83,30947,300270.00,,INE447A01015,20-Aug-21,,
500031,BAJAJ ELECT.,A ,Q,1038.00,1055.65,1028.30,1036.85,1034.50,1038.40,527,3449,3587651.00,,INE193E01025,20-Aug-21,,
500032,BAJAJHIND   ,T ,Q,15.00,15.10,14.55,14.60,14.60,15.30,1844,648668,9560101.00,,INE306A01021,20-Aug-21,,
500033,FORCE MOTR  ,A ,Q,1347.00,1347.90,1310.00,1316.10,1317.45,1359.55,1217,7522,10002169.00,,INE451A01017,20-Aug-21,,
500034,BAJFINANCE  ,A ,Q,6475.00,6730.90,6455.10,6656.50,6656.50,6544.45,17158,112978,749709542.00,,INE296A01024,20-Aug-21,,
500038,BALRAM.CHINI,A ,Q,357.50,363.50,353.35,356.75,356.75,360.20,1498,47391,16933635.00,,INE119A01028,20-Aug-21,,
500039,BANCO PROD. ,B ,Q,186.95,186.95,178.30,179.50,179.50,187.55,1135,46157,8432552.00,,INE213C01025,20-Aug-21,,
500040,CENTURY TEXT,A ,Q,780.00,788.65,761.95,766.40,763.30,788.40,1263,24538,19008193.00,,INE055A01016,20-Aug-21,,
500041,BANNARI AMAN,A ,Q,1820.05,1845.55,1780.00,1784.40,1780.00,1850.05,56,201,363562.00,,INE459A01010,20-Aug-21,,
500042,BASF INDIA  ,A ,Q,3461.50,3568.85,3376.05,3538.25,3538.25,3491.65,1061,4611,16062141.00,,INE373A01013,20-Aug-21,,
500043,BATA INDIA  ,A ,Q,1785.00,1785.00,1723.00,1741.20,1723.00,1758.60,4540,56815,99757801.00,,INE176A01028,20-Aug-21,,
500048,BEML LTD    ,A ,Q,1301.50,1301.50,1268.00,1284.50,1284.50,1304.00,1370,16807,21550428.00,,INE258A01016,20-Aug-21,,
500049,BHARAT ELECT,A ,Q,171.15,174.85,170.30,171.15,171.80,174.05,1905,154128,26642649.00,,INE263A01024,20-Aug-21,,
500052,BHANSALI ENG,A ,Q,176.50,179.80,171.20,173.20,173.20,180.00,1467,93498,16408741.00,,INE922A01025,20-Aug-21,,
500055,TATASTLBSL  ,T ,Q,97.50,97.50,93.15,93.15,93.15,98.05,2233,275788,25814091.00,,INE824B01021,20-Aug-21,,
500058,BIHAR SPONGE,XT,Q,9.46,9.46,9.46,9.46,9.46,9.01,101,98937,935944.00,,INE819C01011,20-Aug-21,,
