isin,ins_type,zd_symbol,yq_symbol,nse_symbol,bse_sc_code,bse_sc_name
INE144J01027,equity,20MICRONS,20MICRONS,20MICRONS,533022,20 MICRONS
INE253B01015,equity,21STCENMGM,21STCENMGM,21STCENMGM,526921,21ST CEN.MGM
INE470A01017,equity,3MINDIA,3MINDIA,3MINDIA,523395,3M INDIA LTD
INE618L01018,equity,5PAISA,5PAISA,5PAISA,540776,5PAISA
INE111B01023,equity,63MOONS,63MOONS,63MOONS,526881,63MOONS
INE619I01012,equity,A2ZINFRA,A2ZINFRA,A2ZINFRA,533292,A2ZINFRA
INE087Z01016,equity,AAKASH,AAKASH,AAKASH,,
INE198H01019,equity,AAREYDRUGS,,AAREYDRUGS,524412,AAREY DRUGS
INE721Z01010,equity,AARON,AARON,AARON,,
INE767A01016,equity,AARTIDRUGS,AARTIDRUGS,AARTIDRUGS,524348,AARTI DRUGS
INE769A01020,equity,AARTIIND,AARTIIND,AARTIIND,524208,AARTI INDUST
INE09EO01013,equity,AARTISURF,AARTISURF,AARTISURF,543210,AARTISURF
INE273D01019,equity,AARVEEDEN,AARVEEDEN,AARVEEDEN,514274,AARVEE DENIM
INE754X01016,equity,AARVI,AARVI,AARVI,,
INE216P01012,equity,AAVAS,AAVAS,AAVAS,541988,AAVAS
INE421A01028,equity,ABAN,ABAN,ABAN,523204,ABAN OFFSHO
INE117A01022,equity,ABB,ABB,ABB,500002,ABB LTD.
INE358A01014,equity,ABBOTINDIA,ABBOTINDIA,ABBOTINDIA,500488,ABBOTT (I)
INE674K01013,equity,ABCAPITAL,ABCAPITAL,ABCAPITAL,540691,ABCAPITAL
INE647O01011,equity,ABFRL,ABFRL,ABFRL,535755,ABFRL
INF209KB1O58,equity,ABSLBANETF,ABSLBANETF,ABSLBANETF,542863,ABSLBANETF
INF209KB1B87,equity,ABSLNN50ET,ABSLNN50ET,ABSLNN50ET,542230,ABSLNN50ET
INE012A01025,equity,ACC,ACC,ACC,500410,ACC LTD
INE793A01012,equity,ACCELYA,ACCELYA,ACCELYA,532268,ACCELYA
INE648Z01015,equity,ACCURACY,ACCURACY,ACCURACY,,
INE731H01025,equity,ACE,ACE,ACE,532762,ACTION CONST
INE482D01024,equity,ACRYSIL,ACRYSIL,ACRYSIL,524091,ACRYCIL LTD.
INE423A01024,equity,ADANIENT,ADANIENT,ADANIENT,512599,ADANI ENTER
INE742F01042,equity,ADANIPORTS,ADANIPORTS,ADANIPORTS,532921,ADANI PORTS
INE982B01019,equity,ADFFOODS,ADFFOODS,ADFFOODS,519183,ADF FOODS LT
INE045A01017,equity,ADORWELD,ADORWELD,ADORWELD,517041,ADORWELDING
INE737B01033,equity,ADROITINFO,ADROITINFO,ADROITINFO,532172,ADROITINFO
INE102I01027,equity,ADSL,ADSL,ADSL,532875,ALLIED DIGIT
INE199C01026,equity,ADVANIHOTR,ADVANIHOTR,ADVANIHOTR,523269,ADVANI HOTEL
INE837H01020,equity,ADVENZYMES,ADVENZYMES,ADVENZYMES,540025,ADVENZYMES
INE208C01025,equity,AEGISCHEM,AEGISCHEM,AEGISCHEM,500003,AEGIS LOGIS
INE204E01012,equity,AGARIND,AGARIND,AGARIND,531921,AGAR IND COR
INE449G01018,equity,AGRITECH,AGRITECH,AGRITECH,537292,AGRI TECH
INE740V01019,equity,AGROPHOS,AGROPHOS,AGROPHOS,,
INE00PV01013,equity,AHLADA,AHLADA,AHLADA,,
INE926K01017,equity,AHLEAST,AHLEAST,AHLEAST,533227,ASIAN HTL E
INE758C01029,equity,AHLUCONT,AHLUCONT,AHLUCONT,532811,AHLUWALIA CO
INE915K01010,equity,AHLWEST,AHLWEST,AHLWEST,533221,ASIAN HTL W
INE212H01026,equity,AIAENG,AIAENG,AIAENG,532683,AIAENGINEER
INE031B01049,equity,AJANTPHARM,AJANTPHARM,AJANTPHARM,532331,AJANTA PHARM
INE820Y01013,equity,AJOONI,AJOONI,AJOONI,,
INE737W01013,equity,AKASH,AKASH,AKASH,,
INE00Y801016,equity,AKG,AKG,AKG,,
INE542B01011,equity,AKSHARCHEM,AKSHARCHEM,AKSHARCHEM,524598,AKSHARCHEM I
INE133A01011,equity,AKZOINDIA,AKZOINDIA,AKZOINDIA,500710,AKZOINDIA
INE914E01040,equity,ALANKIT,ALANKIT,ALANKIT,531082,ALANKIT
INE155C01010,equity,ALBERTDAVD,ALBERTDAVD,ALBERTDAVD,524075,ALBERT DAVID
INE426A01027,equity,ALEMBICLTD,ALEMBICLTD,ALEMBICLTD,506235,ALEMBIC LTD.
INE062D01024,equity,ALICON,ALICON,ALICON,531147,ALICON
INE773I01017,equity,ALKALI,ALKALI,ALKALI,533029,ALKALI
INE540L01014,equity,ALKEM,ALKEM,ALKEM,539523,ALKEM
INE150B01039,equity,ALKYLAMINE,ALKYLAMINE,ALKYLAMINE,506767,ALKYL AMINES
INE418H01029,equity,ALLCARGO,ALLCARGO,ALLCARGO,532749,ALLCARGO
INE835G01018,equity,ALLSEC,ALLSEC,ALLSEC,532633,ALLSEC TECH
INE326B01027,equity,ALMONDZ,ALMONDZ,ALMONDZ,531400,ALMONDZ GLO
INE270A01029,equity,ALOKINDS,ALOKINDS,ALOKINDS,521070,ALOK INDS.
INE385I01010,equity,ALPA,ALPA,ALPA,532878,ALPA LAB
INE137C01018,equity,ALPHAGEO,ALPHAGEO,ALPHAGEO,526397,ALPHAGEO (I)
